Node_name_1;Node_name_2;Node_name_3;Node_name_4;Article_ID_List;Node_number_1;Node_number_2;Node_number_3;Node_number_4
['polici'];['polici'];['develop'];['develop'];[214, 316, 413, 458, 736, 784, 894, 963, 983, 1148, 1170, 1213, 1214, 1215, 1230, 1235, 1293, 1389, 1393, 1519, 1682, 1683, 1704, 1735, 1789, 1814, 1856, 2042, 2045, 2091, 2230, 2238, 2248, 2308, 2380, 2447, 2454, 2490, 2511, 2540, 2600, 2606, 2876];4;15;50;114
['polici'];['polici'];['develop'];['project'];[10, 26, 114, 140, 155, 265, 340, 513, 640, 863, 967, 1125, 1222, 1330, 1334, 1379, 1447, 1459, 1473, 1477, 1479, 1481, 1494, 1529, 1533, 1546, 1670, 1699, 1848, 1896, 1898, 1906, 1915, 1940, 1943, 2044, 2135, 2153, 2160, 2228, 2261, 2293, 2349, 2483, 2564, 2592, 2664, 2853];4;15;50;115
['polici'];['polici'];['develop'];['secur'];[173, 188, 395, 544, 843, 892, 978, 993, 1012, 1022, 1029, 1239, 1616, 1677, 1703, 1709, 1907, 1938, 2013, 2072, 2368, 2510, 2556, 2579, 2830];4;15;50;116
['polici'];['polici'];['develop'];['citi'];[25, 56, 475, 613, 646, 667, 782, 826, 830, 872, 879, 908, 1232, 1553, 1686, 1707, 1711, 1763, 1801, 1991, 2342, 2455, 2486, 2497, 2509, 2529, 2591];4;15;50;117
['polici'];['ghg'];['ghg'];['agricultur'];[99, 177, 182, 190, 236, 935, 1276, 1294, 1525, 1572, 1681, 2037, 2159, 2494, 2616, 2857];4;16;51;118
['polici'];['ghg'];['ghg'];['ghg'];[11, 120, 194, 220, 227, 228, 234, 276, 293, 372, 375, 379, 552, 566, 726, 763, 994, 1166, 1174, 1183, 1184, 1439, 1445, 1467, 1469, 1549, 1577, 1733, 1770, 1818, 1917, 2078, 2090, 2099, 2141, 2155, 2158, 2169, 2176, 2178, 2188, 2203, 2389, 2445, 2446, 2504, 2505, 2508, 2512, 2517, 2522, 2523, 2527, 2563, 2607, 2642, 2660, 2778, 2792, 2801, 2849];4;16;51;119
['polici'];['ghg'];['gas'];['oil'];[63, 69, 92, 224, 254, 433, 550, 688, 1010, 1160, 1679, 1684, 1874, 1892, 2134, 2201, 2252, 2357, 2433, 2463, 2465, 2562, 2643, 2708, 2720, 2738, 2815];4;16;52;120
['polici'];['ghg'];['gas'];['gas'];[14, 107, 210, 380, 409, 455, 491, 525, 576, 633, 662, 708, 828, 870, 930, 995, 1135, 1138, 1139, 1229, 1264, 1405, 1464, 1496, 1550, 1872, 2057, 2282, 2652, 2688, 2812];4;16;52;121
['polici'];['ghg'];['hydrogen'];;[48, 361, 1091, 1143, 1147, 1167, 1263, 1564, 1880, 2740];4;16;53;
['polici'];['ghg'];['mitig'];['cost'];[83, 129, 175, 198, 200, 206, 231, 595, 787, 1014, 1026, 1031, 1042, 1043, 1062, 1142, 1162, 1178, 1237, 1318, 1346, 1421, 1432, 1567, 1642, 1715, 1716, 1741, 1829, 2058, 2307, 2385, 2528, 2548, 2549, 2573, 2580, 2601, 2611, 2646, 2774, 2872];4;16;54;122
['polici'];['ghg'];['mitig'];['save'];[40, 46, 94, 117, 157, 204, 258, 370, 521, 743, 800, 840, 844, 887, 899, 900, 918, 990, 1035, 1122, 1191, 1337, 1399, 1406, 1440, 1468, 1472, 1578, 1630, 1762, 1792, 1816, 1830, 1903, 1937, 1977, 1987, 2002, 2065, 2083, 2106, 2108, 2140, 2163, 2265, 2288, 2320, 2362, 2435, 2466, 2534, 2583, 2584, 2605, 2694, 2793, 2836, 2837];4;16;54;123
